,link,name,username,text,date,retweeted,No_of_likes,No-of_retweets
71,https://twitter.com/TheBEastOfAfri1/status/1696182548701888996#m,Sexy_Gorilla 🦍,@TheBEastOfAfri1,Igi Oko help me run 5m asap   #JagunJagunMovie,"Aug 28, 2023 · 3:26 PM UTC",False,1,0
72,https://twitter.com/SET_TV1/status/1696177767103000816#m,Show E Tan Tv,@SET_TV1,The bravest and mightiest falls at the palm of a woman ‘Fear Woman’ @realfemiadebayo @Balogunfathia #JagunJagunMovie /Fear woman/Esther/#bubagirl /Toto/#snapchat,"Aug 28, 2023 · 3:07 PM UTC",False,2,0
73,https://twitter.com/ibbonpoint/status/1696164699010723857#m,🅜🅡 🅘🅝🅝🅞🅒🅔🅝🅣 🇳🇬,@ibbonpoint,Iroyinogunkitan in #JagunJagunMovie,"Aug 28, 2023 · 2:15 PM UTC",False,0,0
74,https://twitter.com/emiraltyafrica/status/1696100424774750272#m,Mayegun Emiralty Africa,@emiraltyafrica,"Thank you so much my principal, for the opportunity to learn and grow unconditionally. This is for you sir, This is for #JagunJagunMovie and many more magics to come.","Aug 28, 2023 · 10:00 AM UTC",False,8,1
75,https://twitter.com/Bhiola59/status/1696092789606420837#m,Aang 💐,@Bhiola59,Fixed it 😂 #JagunJagunMovie,"Aug 28, 2023 · 9:30 AM UTC",False,21,10
76,https://twitter.com/Tommyakins20/status/1696092288038916231#m,Ayomide Ayodeji Ayobami,@Tommyakins20,"One thing i know, I'm happy i know.. 😂 😍   New Week, New Blessings hovering over me. Amen 🔥  #Amapiano #ManchesterUnited #Arsenal #Sancho #Seyi #BloodDiamond #Olamide #Asake #ITOLDTHEM #Davido #rccg #snapchat #Greenwood #NYSC #Fashionista #JagunJagunMovie","Aug 28, 2023 · 9:28 AM UTC",False,3,0
77,https://twitter.com/OptimistGfix/status/1696087977330409947#m,Optimist Official,@OptimistGfix,He suppose save your own as Iroyinogunokintan 😂😂😂😂  #JagunJagunMovie,"Aug 28, 2023 · 9:11 AM UTC",False,0,0
78,https://twitter.com/Deworld9/status/1696039008436977815#m,Deworld,@Deworld9,One slang at #Jagunjagun Oya let’s go #jagunjagunmovie,"Aug 28, 2023 · 5:56 AM UTC",False,1,0
79,https://twitter.com/williams_corpaa/status/1695953569449468176#m,🇨🇵🇳🇬THE SPECIALIST⚖️,@williams_corpaa,#JagunJagunmovie,"Aug 28, 2023 · 12:16 AM UTC",False,0,0
80,https://twitter.com/williams_corpaa/status/1695938921870270676#m,🇨🇵🇳🇬THE SPECIALIST⚖️,@williams_corpaa,"This is my best scene,  that guy fought like a true warrior. Dude killed his role. #JagunJagunMovie","Aug 27, 2023 · 11:18 PM UTC",False,23,2
81,https://twitter.com/OLADELEAyo1744/status/1695926541648118152#m,AESTHETIC MEDIA (Everything is Rated),@OLADELEAyo1744,What do u think about having part two of this movie  #JagunJagunMovie,"Aug 27, 2023 · 10:29 PM UTC",False,0,0
